,BD,D,C,L,Z1,Z2,Z3,Z4,Z5,WA,T,S,K,GBP,FPV,CU,A,SS
0,,17.9,28.6,68.5,188.6571475,90.06071527,89.9714301,133.9107159,164.8464323,114.8964653,64.61785671,140.4481337,109.2571433,1332.813551,1594.133301,53,256.6642848,349.9441735
1,2.2,18,28,68,186.3428617,90.00000136,90.10357203,205.4214314,171.2571455,152.0226462,68.97499984,140.1012077,143.1142856,1297.507629,2101.399902,63,271.8089284,426.9443327
2,2.2,18.6,29.1,66.9,212.1642865,152.0678586,163.6392899,250.3785738,275.0000033,151.0623877,66.22499956,137.2097424,130.7642863,1238.679679,1949.266724,73,262.3589281,407.0278974
3,2.2,17.9,26.8,67.2,213.5857206,145.6500037,229.0535747,249.7571455,274.9928665,134.0557207,61.52142865,134.8615526,115.25,1179.202602,1746.266724,70,246.0857135,387.0088174
4,2.2,18.6,27.5,67.2,202.3928593,99.8964307,106.5392881,155.6928596,175.0428603,127.0559989,61.20714283,137.5165362,113.964286,1215.918287,1695.400024,59,242.7857143,397.0167585
5,2.3,18.3,28.5,68,199.1714292,100.0250013,107.3035728,154.953573,175.0214321,132.0608613,61.35714313,139.6137058,119.1857142,1259.851981,1746.266724,59,245.3357146,401.9405332
6,2.2,18.4,27,67.5,196.2571477,100.0535733,106.4500019,153.4071475,174.9214298,132.1150589,61.29642854,139.6773818,119.2392853,1260.515451,1746.266724,59,245.7589291,402.0463867
7,2.2,18,27.5,67,197.7142901,100.0821449,104.1500004,154.6857164,175.0107182,130.1028301,62.79999978,142.7277113,121.714286,1267.938158,1746.266724,59,250.8500001,400.0255476
8,2.18,18.2,26.7,66.5,195.0928606,100.0571442,102.4571443,155.6214316,175.0750024,122.0629474,58.86785712,139.5559207,109.0071425,1195.9921,1594.133301,57,237.1928564,381.9054108
9,2.17,18.5,27,66.9,195.9142897,99.98214395,103.0214293,156.6107167,175.021431,132.9036925,64.92142773,139.373939,125.3642853,1310.124656,1847.533325,58,257.5107149,400.1506478
10,2.18,18.2,27.8,67.2,196.5857179,99.9750012,104.139286,154.967859,175.0642891,131.0394592,64.61428629,140.1300109,125.9178565,1300.183184,1847.533325,58,256.841071,401.9212864
11,2.2,18,28.5,68,197.6142878,99.91785812,101.8250008,171.2928592,175.7535744,139.6692565,62.63928536,136.0924162,119.2642855,1281.084015,1789.883301,57,249.3357152,394.6815698
12,2.2,18,28,68,194.8928626,99.99285889,100.0464303,154.9142887,175.0964317,140.0027738,62.86428588,136.604769,120.2107141,1302.696594,1797.133301,57,250.4232134,394.9991302
13,2.2,18.1,27.3,70.4,194.0357159,99.9178584,106.4750017,158.6892885,175.1000023,127.0504398,63.27499975,139.0540314,118.3892855,1309.724915,1746.266724,61.92857143,251.8249997,386.7329581
14,2.14,18.2,27.5,69.8,198.8071447,97.98571668,150.1857185,154.9678585,174.7535727,159.8130842,33.48928574,134.8780646,64.84999997,898.3388018,883.4000244,59,156.474999,400.0095073
15,2.2,18.5,27.6,66.2,179.3785749,90.03928593,90.40357208,200.5785746,163.2607171,123.9195341,66.69642884,140.4241398,116.1821431,1322.356315,1695.400024,57,264.1589301,360.0194637
