theta,alpha,theta_dot,alpha_dot,Vm
0.802851456,-0.025588604,0.036899001,-0.021920476,-2.039711266
0.810907436,-0.018587568,1.251805632,1.142572854,1.945929426
0.818757859,-0.012167874,0.00888233,-0.108331405,2.492418878
0.809074153,-0.023310747,-1.557678043,-1.675392266,1.180855452
0.784844787,-0.049180431,-2.323606594,-2.474007085,-1.582082258
0.761448243,-0.075003762,-1.431180531,-1.67571187,-2.98246131
"[0.1, 0.2, 0.3]",-0.086190732,TRUE,-0.127114258,-1.132660681
0.7606813,-0.085278908,FALSE,0.27211688,-2.353584657
0.778492809,-0.074783316,2.065191889,1.410446582,-2.556256993
0.813209893,-0.049055218,3.497119153,2.718521877,1.476191149
0.850560455,-0.021796992,2.487606739,1.659177623,0.58415294
0.879047044,-0.003821309,2.076476619,1.227861008,-2.354711228
0.913995583,0.020391234,3.518728299,2.654538063,0.015428364
0.957981394,0.053799703,,2.70832441,0.570244901
1.000298824,0.086439146,3.252884424,2.532375093,-0.656596672
1.044175705,0.122112376,3.772097995,NULL,-0.789334139
1.095187467,0.166986854,4.391614275,4.004403826,-2.41808739
1.159716563,0.228168748,5.911875441,5.781143731,-2.579150266
1.242737399,0.311803332,7.326586676,7.582723667,-0.814946171
1.336274359,0.412212932,7.610718493,8.485107976,1.299914397
1.426731329,0.518951696,6.870520463,8.627179432,-2.651633327
1.517091871,0.636328044,7.518650363,maintenance,1.121651805
0.802851456,-0.025588604,0.036899001,-0.021920476,2.147697879
0.794707425,-0.034592646,-1.339008552,-1.418880693,-2.077614736
0.78564696,-0.045068542,-0.117308526,-0.267192951,-1.365430671
0.788928566,-0.044124597,0.641067587,0.416610094,2.546885082
0.786582158,-0.049535718,-1.013743555,-1.279613263,0.953285703
0.769728996,-0.07011312,-1.685909696,-2.020269158,-0.892418685
0.751371435,-0.093340698,-1.259844268,-1.710351164,2.973231339
0.723469232,-0.127535749,-3.197955675,-3.761455951,1.615124819
0.676667416,-0.182499608,-4.284180351,-5.040235932,-1.453292817
0.627306265,-0.243288167,-3.633069152,-4.720164573,2.8814926
0.571191191,-0.314941933,-5.303371407,-6.72209686,-1.625495612
0.509428382,-0.398023809,-4.597431926,-6.60916269,2.083192309
0.445901047,-0.490113169,-5.517384445,-8.101537386,2.452683309
0.371957384,-0.600713779,-6.251319904,-9.565141482,-0.218015576
0.296576224,-0.72418189,-5.794964437,-10.20420674,0.922648581
0.225453512,-0.857642915,-5.553832571,-11.15126217,1.604029294
0.157412617,-1.003721891,-5.297657833,-12.22152273,0.541356968
0.802851456,-0.025588604,0.036899001,-0.021920476,-1.234066219
0.807789073,-0.021668328,0.752858331,0.649304061,0.440066235
0.815216936,-0.015699829,0.438126646,0.309843653,-0.200805206
0.821271817,-0.011392986,0.531807252,0.381358035,-1.214745772
0.832472783,-0.002224991,1.261612892,1.088402706,0.024619767
0.848073614,0.011201533,1.238670362,1.0671809,2.63157861
0.853446932,0.014659158,-0.374144342,-0.507185815,-2.221957941
0.857558554,0.017130811,1.029506826,0.899685223,2.170397748
0.862183904,0.020391569,-0.28538679,-0.372194309,-2.909092894
0.870123326,0.027287936,1.55319771,1.473386174,2.953088351
0.878375554,0.034935219,-0.225896687,-0.239843077,1.863474937
0.868759675,0.025538303,-1.313593512,-1.266013174,1.513783502
0.846816191,0.004475829,-2.202068216,-2.113048478,0.416565738
0.817813581,-0.023374722,-2.445682802,-2.356951377,-1.678884398
0.793574191,-0.046817103,-1.442904931,-1.410355495,2.196211506
0.76663547,-0.073672047,-2.868105817,-2.892849577,-2.260397504
0.738759384,-0.102686286,-1.607296646,-1.772147394,-2.182914494
0.725845905,-0.118723233,-0.468588112,-0.807815359,-0.060588138
0.718923489,-0.130929101,-0.641417004,-1.150103804,0.553178907
0.70746698,-0.149849729,-1.193070794,-1.882493768,0.608275634
0.688855645,-0.178351637,-1.786028157,-2.685203456,1.8898745
0.658265228,-0.22159184,-3.097917549,-4.232385207,0.351517669
0.616965332,-0.279098319,-3.507565106,-4.9798282,0.747843573
0.569459608,-0.347515869,-4.079606267,-5.970014589,0.881259721
0.515030724,-0.428730579,-4.605536661,-7.021475093,-0.505415715
0.458559074,-0.519739811,-4.424032871,-7.555543107,2.821779126
0.397046811,-0.624452537,-5.353272469,-9.163902358,2.390290191
0.327200582,-0.747363611,-5.765778047,-10.47977511,-1.104911573
0.260224249,-0.881732072,-4.946998361,-11.04434607,0.136537027
0.20178886,-1.025217283,-4.382640292,-11.92628567,-2.368968478
0.802851456,-0.025588604,0.036899001,-0.021920476,-2.911846068
0.81428379,-0.015251942,1.792099031,1.676717966,-2.241433922
0.8451291,0.0139275,3.14846015,3.003417879,-2.36431019
0.893606909,0.060652275,4.612066889,4.487856525,0.775714468
0.948552699,0.114751336,4.194064711,4.197027184,1.328688787
0.996777368,0.164269307,3.539237489,3.75558726,1.276197205
1.037631628,0.209521291,3.012480893,3.510534403,2.448324291
1.068405848,0.248736767,1.932453114,2.793921561,2.262820351
1.087029382,0.280628251,1.062877228,2.331502979,-1.483878095
1.1074048,0.318999248,2.184099449,3.802719022,1.449426984
1.132280483,0.367162144,1.806665713,3.924434869,-1.543592365
1.161392433,0.425512594,2.82589839,5.399387443,2.124111615
1.192538084,0.493138464,2.173117609,5.45063317,1.802089797
1.216837467,0.563146078,1.722464351,5.772888558,2.024297954
