,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,time_total_s,training_iteration,param_estimator__max_depth,param_estimator__gamma,param_estimator__subsample,param_estimator__eta
0,"{'estimator__max_depth': 10, 'estimator__gamma': 1.0, 'estimator__subsample': 0.5, 'estimator__eta': 0.3}",0.9891295490157266,0.9923050634775512,0.9903603241780012,0.9947234772550452,0.9964114418174028,0.9925859711487455,0.002690071586815779,1,372.423757314682,1,10,1.0,0.5,0.3
1,"{'estimator__max_depth': 3, 'estimator__gamma': 1.0, 'estimator__subsample': 0.5, 'estimator__eta': 0.5}",0.987392429028274,0.9902341347688912,0.9903119873780716,0.9941702223819592,0.9951861748525924,0.9914589896819577,0.002849403146030011,2,112.27051877975464,1,3,1.0,0.5,0.5
