,T,S,K,A,BD,D,C,L
0,61.29642854,139.6773818,119.23928529999999,245.75892909999996,2.2,18.4,27.0,67.5
1,62.79999978,142.7277113,121.71428600000002,250.85000010000002,2.2,18.0,27.5,67.0
2,58.86785712,139.5559207,109.0071425,237.1928564,2.18,18.2,26.7,66.5
3,64.92142773,139.37393899999998,125.36428529999999,257.51071490000004,2.17,18.5,27.0,66.9
4,64.61428629,140.13001090000003,125.9178565,256.841071,2.18,18.2,27.8,67.2
5,62.63928536,136.09241619999997,119.2642855,249.33571519999998,2.2,18.0,28.5,68.0
6,62.86428588,136.604769,120.21071409999999,250.4232134,2.2,18.0,28.0,68.0
7,63.27499975,139.0540314,118.3892855,251.8249997,2.2,18.1,27.3,70.4
8,33.48928574,134.8780646,64.84999997,156.474999,2.14,18.2,27.5,69.8
9,66.69642884,140.4241398,116.18214309999999,264.1589301,2.2,18.5,27.6,66.2
10,73.84285736,140.14134430000001,135.34999960000002,288.46964049999997,2.2,17.9,27.1,66.0
11,75.83928626,140.6395024,143.6642854,296.09821539999996,2.2,17.7,27.7,66.2
12,0.0,0.0,0.0,0.0,2.0,18.0,27.0,69.0
13,0.0,0.0,0.0,0.0,2.2,18.0,27.7,67.0
14,0.72142856,-9.19850954,1.303571424,59.10535731,2.2,18.0,29.0,68.0
15,66.34999935,137.30709840000003,112.9192311,263.4096151,2.2,18.0,29.0,69.0
16,67.42857116,137.3632022,113.52499909999999,266.3160662,2.2,18.5,28.0,66.0
17,67.13928577,136.57534030000002,113.06071440000001,265.510716,2.2,18.0,29.0,70.0
18,67.52142824,137.71205519999998,114.0,266.83749930000005,2.2,18.2,29.0,70.0
19,73.03571401,136.18617680000003,112.9214287,285.9035721,2.2,18.0,27.2,69.0
20,73.16428484,136.4902137,113.17500030000001,285.98035539999995,2.2,18.0,27.2,69.0
21,73.98571396,134.926354,118.471429,289.0035716,2.2,18.3,27.1,68.2
22,72.22142928,135.6302468,112.4821437,282.5339279,2.3,18.5,25.5,67.0
23,72.37142808,135.96770149999998,112.82499990000001,283.5874961,2.2,17.6,26.9,67.1
24,0.0,0.0,0.0,0.0,2.2,18.1,26.8,68.4
25,0.0,0.0,0.0,0.0,2.2,17.5,26.5,66.0
