,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,time_total_s,training_iteration,param_estimator__max_depth,param_estimator__learning_rate,param_estimator__num_leaves
0,"{'estimator__max_depth': 5, 'estimator__learning_rate': 0.05, 'estimator__num_leaves': 31}",0.9789557605084191,0.97966303288239,0.9854266156457584,0.9845835012916386,0.9875723445021748,0.9832402509660761,0.003361692849003271,3,27.518092393875122,1,5,0.05,31
1,"{'estimator__max_depth': 10, 'estimator__learning_rate': 0.1, 'estimator__num_leaves': 10}",0.9797280174885772,0.9812630553824191,0.9883740729362452,0.9866378368428806,0.9919073300727214,0.9855820625445688,0.004513150941043002,2,20.76406192779541,1,10,0.1,10
2,"{'estimator__max_depth': 10, 'estimator__learning_rate': 0.05, 'estimator__num_leaves': 50}",0.9801339757555576,0.9824080570093164,0.989696850043036,0.9859839468581648,0.9925513907792222,0.9861548440890594,0.0045558773142229956,1,41.78644347190857,1,10,0.05,50
3,"{'estimator__max_depth': 5, 'estimator__learning_rate': 0.05, 'estimator__num_leaves': 31}",0.9789557605084191,0.97966303288239,0.9854266156457584,0.9845835012916386,0.9875723445021748,0.9832402509660761,0.003361692849003271,3,27.41050124168396,1,5,0.05,31
4,"{'estimator__max_depth': -1, 'estimator__learning_rate': 0.01, 'estimator__num_leaves': 31}",0.8336720886044459,0.8318600727291778,0.8396659040412113,0.8409885158635666,0.8483776112009352,0.8389128384878675,0.005859427122051834,5,29.629079103469852,1,-1,0.01,31
